Var1,Var2,Freq,yes,prob,x
1,2ratio <0.01,2346,2338,99.66,6
2,2ratio <0.01,2300,2288,99.48,6
3,2ratio <0.01,2291,2282,99.61,6
1,2ratio <0.009,2346,2338,99.66,5
2,2ratio <0.009,2300,2288,99.48,5
3,2ratio <0.009,2291,2282,99.61,5
1,2ratio <0.008,2346,2338,99.66,4
2,2ratio <0.008,2300,2288,99.48,4
3,2ratio <0.008,2291,2282,99.61,4
1,2ratio <0.007,2346,2301,98.08,3
2,2ratio <0.007,2300,2264,98.43,3
3,2ratio <0.007,2291,2271,99.13,3
1,2ratio <0.006,2346,2296,97.87,2
2,2ratio <0.006,2300,2263,98.39,2
3,2ratio <0.006,2291,2269,99.04,2
1,2ratio <0.005,2346,1254,53.45,1
2,2ratio <0.005,2300,1246,54.17,1
3,2ratio <0.005,2291,1142,49.85,1
