"","group2","A","B","C","D","group","gene"
"1",1,91.005,171.003,225,0.355546666666667,"ctrl","PGM2"
"2",2,116.017,157.029,195.041,0.210273737316769,"ctrl","PGM2"
"3",3,71.386,166.307,214.56,0.442398396718866,"ctrl","PGM2"
"4",4,121.297,170.329,211.814,0.231486115176523,"ctrl","PGM2"
"5",5,108.301,165.124,195.133,0.291201385721533,"ctrl","PGM2"
"6",6,72.201,140.656,180.602,0.379037884408811,"ctrl","PGM2"
"7",7,129.201,162.41,197.626,0.168039630413002,"ctrl","PGM2"
"8",8,20.1,154.635,208.959,0.643834436420542,"ctrl","PGM2"
"9",9,36.497,154.557,217.706,0.542290979577963,"ctrl","PGM2"
"10",10,113.748,161.208,201.613,0.235401487007286,"ctrl","PGM2"
"11",11,114.49,178.986,216.315,0.298157779164644,"ctrl","PGM2"
"12",12,138.405,188.043,232.078,0.213884986944045,"ctrl","PGM2"
"13",13,88.006,157.547,204.416,0.340193526925485,"ctrl","PGM2"
"14",14,29.206,150.659,201.229,0.603556147473774,"ctrl","PGM2"
"15",15,81.633,150.586,192.769,0.357697555104815,"ctrl","PGM2"
"16",16,109.563,161.555,198.323,0.262158196477464,"ctrl","PGM2"
"17",17,73.539,159.7,205.767,0.41873089465269,"ctrl","PGM2"
"18",18,130.43,167.631,198.595,0.187320929529948,"ctrl","PGM2"
"19",19,108.24,181.604,187.926,0.390387705799091,"ctrl","PGM2"
"20",20,116.379,177.73,221.359,0.27715611292064,"ctrl","PGM2"
"21",21,52.802,160.86,223.329,0.483851179201985,"ctrl","PGM2"
"22",22,86.556,175.568,212.81,0.418269818147644,"ctrl","PGM2"
"23",23,77.897,170.176,208.471,0.44264669906126,"ctrl","PGM2"
"24",24,22.804,169.293,203.066,0.721386150315661,"ctrl","PGM2"
"25",25,137.753,178.885,212.047,0.193975863841507,"ctrl","PGM2"
"26",26,139.843,164.56,192.333,0.128511487888194,"ctrl","PGM2"
"27",27,128.515,159.7,197.585,0.157830806994458,"ctrl","PGM2"
"28",28,127.311,182.483,210.723,0.261822392429872,"ctrl","PGM2"
"29",29,141.421,176.782,202.237,0.174849310462477,"ctrl","PGM2"
"30",30,178.393,184.716,216.333,0.0292280881788724,"ctrl","PGM2"
"31",31,124.788,174.184,200.928,0.245839305621914,"ctrl","PGM2"
"32",1,132.966,146.328,184.954,0.0722449906463228,"gene","PGM2"
"33",2,94.021,119.08,188.828,0.132708072955282,"gene","PGM2"
"34",3,155.396,167.726,200.998,0.0613438939690943,"gene","PGM2"
"35",4,123.822,148.862,184.878,0.135440668981707,"gene","PGM2"
"36",5,99.539,137.084,173.078,0.216925316909139,"gene","PGM2"
"37",6,38.626,157.848,199.078,0.598870794362009,"gene","PGM2"
"38",7,92.195,134.239,178.281,0.23582995383692,"gene","PGM2"
"39",8,96.021,122.016,178.011,0.146030301498222,"gene","PGM2"
"40",9,100.08,120.067,166.108,0.120325330507862,"gene","PGM2"
"41",10,108.296,146.492,194.504,0.196376424135236,"gene","PGM2"
"42",11,92.542,132.74,178.908,0.224685313121828,"gene","PGM2"
"43",12,92.347,122.409,170.575,0.176239190971713,"gene","PGM2"
"44",13,96.747,116.842,171.172,0.117396536816769,"gene","PGM2"
"45",14,81.584,132.981,179.644,0.28610474048674,"gene","PGM2"
"46",15,74.632,122.09,184.361,0.257418868415771,"gene","PGM2"
"47",16,87.596,127.758,196.759,0.204117727778653,"gene","PGM2"
"48",17,91.482,125.686,180.768,0.189214905292972,"gene","PGM2"
"49",18,93.172,137.539,185.586,0.239064369079564,"gene","PGM2"
"50",19,91.761,139.843,184.889,0.26005873794547,"gene","PGM2"
"51",20,96.664,134.239,192.354,0.195342961414891,"gene","PGM2"
"52",21,89.889,119.616,187.968,0.158149259448417,"gene","PGM2"
"53",22,110.725,149.345,176.045,0.21937572779687,"gene","PGM2"
"54",23,92.13,138.636,181.571,0.256131210380512,"gene","PGM2"
"55",24,101.134,145.231,191.708,0.230021699668245,"gene","PGM2"
"56",25,90.708,127.577,189.663,0.194392158723631,"gene","PGM2"
"57",26,122.931,155.242,188.68,0.17124761500954,"gene","PGM2"
"58",27,74.324,94.021,185.397,0.106242280080044,"gene","PGM2"
"59",28,97.693,137.084,196.865,0.200091433215655,"gene","PGM2"
"60",29,107.424,138.636,196.774,0.158618516673951,"gene","PGM2"
"61",30,99.298,131.529,176.238,0.182883373619764,"gene","PGM2"
"62",31,61.057,124.258,169.446,0.372986084062179,"gene","PGM2"
"63",32,66.603,135.794,188.138,0.367767277211409,"gene","PGM2"
"64",33,59.363,134.462,195.51,0.384118459413841,"gene","PGM2"
