Value,Group,Group1,Group2
2.262575123,Con-A,Control,A
0.798707407,Con-A,Control,A
0.900614732,Con-A,Control,A
0.038102739,Con-A,Control,A
0.904852536,DSS-A,DSS,A
0.920291146,DSS-A,DSS,A
1.595702191,DSS-A,DSS,A
1.829606503,DSS-A,DSS,A
0.572141123,FP-A,DSS+F. p,A
1.091303437,FP-A,DSS+F. p,A
0.068817446,FP-A,DSS+F. p,A
0.689474556,FP-A,DSS+F. p,A
0.559002678,FP-A,DSS+F. p,A
0.542862482,Con-D,Control,D
1.396836563,Con-D,Control,D
1.075744419,Con-D,Control,D
0.984556536,Con-D,Control,D
2.705057322,DSS-D,DSS,D
3.294766809,DSS-D,DSS,D
1.150268749,DSS-D,DSS,D
2.120470009,DSS-D,DSS,D
1.210943425,FP-D,DSS+F. p,D
1.203688844,FP-D,DSS+F. p,D
0.567681942,FP-D,DSS+F. p,D
2.186200908,FP-D,DSS+F. p,D
0.383657408,FP-D,DSS+F. p,D
