Group,Group1,Group2,Score,DSS
CON1-A,Control,A,0.291848698,CON
CON2-A,Control,A,0.029991049,CON
CON3-A,Control,A,0.000323853,CON
CON4-A,Control,A,0.201875318,CON
CON8-A,Control,A,0.012075249,CON
DSS1-A,DSS,A,0.61277969,DSS
DSS2-A,DSS,A,0.464605774,DSS
DSS3-A,DSS,A,0.574275614,DSS
DSS4-A,DSS,A,0.377393136,DSS
DSS5-A,DSS,A,0.664411377,DSS
FP1-A,DSS+F. p,A,0.265607178,FP
FP2-A,DSS+F. p,A,0.041139997,FP
FP6-A,DSS+F. p,A,0.135795654,FP
FP7-A,DSS+F. p,A,0.220005535,FP
FP8-A,DSS+F. p,A,0.524994992,FP
CON2-D,Control,D,0.019479369,CON
CON4-D,Control,D,0.066949536,CON
CON6-D,Control,D,0.037258876,CON
CON7-D,Control,D,0.020256928,CON
CON8-D,Control,D,0,CON
DSS2-D,DSS,D,0.615042527,DSS
DSS3-D,DSS,D,0.621540705,DSS
DSS4-D,DSS,D,0.532979651,DSS
FP1-D,DSS+F. p,D,0.543164987,FP
FP2-D,DSS+F. p,D,0.260899399,FP
FP4-D,DSS+F. p,D,0.133216792,FP
FP5-D,DSS+F. p,D,0.210253953,FP
FP6-D,DSS+F. p,D,0.115948727,FP
